File Name                     	['་འི་  ', '་འི་_original']	['་ས་   ', '་ས་_original']	['་ར་   ', '་ར་_original']	['་འི།  ', '་འི།_original']	['་ས།   ', '་ས།_original']	['་ར།   ', '་ར།_original']
TM0CPD_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMD0YH_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']
TM20YZ_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0068-bo.txt                 	['0     ', '0     ']	['36    ', '36    ']	['11    ', '11    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0732-bo.txt                 	['1220  ', '1220  ']	['685   ', '685   ']	['342   ', '342   ']	['5     ', '5     ']	['22    ', '22    ']	['8     ', '8     ']
TM2207-bo.txt                 	['0     ', '0     ']	['11    ', '11    ']	['1     ', '1     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TMHAVL_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0407-bo.txt                 	['0     ', '0     ']	['30    ', '30    ']	['128   ', '128   ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM4818-bo.txt                 	['0     ', '0     ']	['3     ', '3     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM1848-bo.txt                 	['0     ', '0     ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
